,comment,aggression,attack,attn_words
23,hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on hahahahahahahahahahahahahahahahahahahahahahahahahahaha im still on haha,0.4069,0.3754,hahahahahahahahahahahahahahahahahahahahahahahahahahaha hahahahahahahahahahahahahahahahahahahahahahahahahahaha im hahahahahahahahahahahahahahahahahahahahahahahahahahaha hahahahahahahahahahahahahahahahahahahahahahahahahahaha
24,because i have little else to do with my empty life,0.414,0.368,empty because little life with
25,did i hurt your feelings grow up this is the real world,0.4238,0.3602,grow hurt your up feelings
26,as long as this encyclopedia is by petty fascists such as yourself it has no integrity the ip banning simply doesn't work i suspect this theme of runs through all aspects of your life,0.4285,0.3571,fascists petty as such is
27,damn i was just about to get you with one after came through beat me to it,0.449,0.3355,damn i was just about
28,it has a link now and im 10 old your a 59 year old man that lives with his mom,0.4105,0.379,a 59 a old mom
29,u smell 2 its,0.4156,0.3745,smell u its 2
30,usa this is idiotic there is no national who decided that students typically learn about speech and debate since when are kids taught geography this is just a random compilation of topics which might be taught in a class this article should be deleted it's utterly useless,0.4397,0.3486,idiotic is there this is
31,how dare you i am a believer that everyone can edit on wikipedia you are obviously prejudiced against australians and especially australian women i have heard from you and your kind before i am a believer that even if i am to the mental health unit at royal hospital i can edit on wikipedia i am a speaker of english as a first language i am a believer in free speech i won't give you my details because they are watching me and they will come and hurt me by drugs into my bottom again why can't you realise this just let me express myself again and do not be a believer that people should be,0.4521,0.3339,dare you a i how
32,jew marxist,0.4157,0.3754,jew marxist
33,tagging asking for a single missing citation i cannot even report your nazi ban on the admin noticeboard thats not related is it wonder what the other admins have to say about 3 month ban over a missing citation you can stick your congratulations where you like them most,0.4286,0.3616,nazi tagging ban a single
34,looks like more hate toward from those who want there to be a government can't you people stop trying to it are you scared that people will throw off the of government,0.4436,0.3453,hate a off scared like
35,i have given a perfectly good reason you are wasting everyone's time,0.4204,0.3754,wasting are a everyone's you
36,will you ever stop vandalising body count no text,0.4309,0.365,vandalising you stop ever will
37,sorry and sorry about calling you an idiot in the past i was just frustrated that after correcting a redirect of mine you had to in even during your attention getting i mean you could have just told me about the redirect and been on your way if you still are vague on the you can find it at,0.4506,0.3426,idiot an sorry and the
38,might want to point out experts 99 9 of with many of who have the same god accept evolution because he is stupid or lies change the truth,0.4511,0.343,stupid lies out might want
39,that's all i have to say can't we get the point across without such pictures i mean the article on doesn't show a photo of the head coming out of the vagina,0.4268,0.3725,all that's have to i
40,look on my talk page you arse ·,0.4117,0.3902,arse on look talk my
41,re 75 67 103 heh you think you're going to stop me kid revert all you like i'm going to be here until the tyranny is gone everything you do is useless you might as well quit now,0.416,0.3872,you're stop re tyranny revert
42,that is exactly why i asked so to be blocked you know for a site that claims to be righteous and when it comes to this kind of thing you are pretty can i create a new account no because the idiot that blocked me in the first place put that under the block parameters what evidence is there of personal attacks and harassment if you cannot answer that then you cannot block me it's a very simple concept to grasp,0.4433,0.3579,idiot is that righteous harassment
43,oh why dear johnny boy oi cock face my pages that have now been deleted thanks sarcasm but my pages weren't finished i was in rush and planned to edit them later contact me also keep looking over your shoulder for and his army of horses remember that name cd coming for you,0.4099,0.3965,cock face oi why dear
44,kurds are not limited in turkey expression of kurdish identity and nationalism is the problem is not with kurds but relatively young fear of kurdish we had a kurdish pm current minister of internal affairs is kurdish etc etc etc you are obviously an to the problem and know only what you've been fed unfortunately even people who live in this country are i wonder if you'd join the pkk or you prefer poor ignorant fight your good war or their kids because that's what pkk is a gang of ignorant men controlled by invisible hands they won't bring solution they'll only bring hatred war blood and more blood i don't mind your choice but i your ignorance,0.4518,0.3513,kurds gang ignorant ignorant are
45,attention poop that is all this page will self in 10 seconds i suggest you leave the computer lab or press alt right now,0.4242,0.3834,poop all is this attention
46,lying you have been exposed on talk what will it take to make you stop lying,0.4517,0.3534,lying you lying exposed have
47,you're no fun no fun at all,0.4259,0.3839,you're no fun no all
48,in a discussion page on drake circus you are debating an issue with a serial pedophile namely no not try and contact this individual or in any way give to your identity do not engage or encourage any with this individual or his alias a k a the relevant are working together to the pedophile activities of this individual,0.4355,0.3761,pedophile a in an a
49,yea you just removed sourced material that contributes to the article so sorry i have posted numerous links to job cuts explicitly caused by not only the list but 10 of companies with over 50 000 employees they all explicitly cited higher taxes costs associated with they didn't cite the academic bullshit being forth here and elsewhere such a shame that real life doesn't with the total nonsense bullshit that is written on the wiki page − and it was supposed to create jobs yet − 2013 was the year for health care job growth since 1999 december was the first month on record that health care employment actually declined − http finance yahoo com news 7 fascinating another html,0.4759,0.3291,yea bullshit bullshit you just
50,re last message why do you act up only when somebody talks about jewish but you let every piece of garbage out there talk about islam without any supporting evidence listening to fox news is not enough to learn islam they and you have to read islamic resources before posting their trash up and you vandal fighter shouldn't let any trash go through you are allowing anti islamic stuff but tough on antisemitism you people can't live without racism and and discrimination that is based on lies wake up don't delete this message if you are not a racist,0.4626,0.3467,a garbage racist vandal re
51,your incorrect opinion and lord knows you are certainly full of them but get your eyes checked so you can avoid such stupid statements in the future,0.4662,0.3453,stupid your incorrect are of
52,i'd say he is more of a geek than a nerd,0.4309,0.3859,nerd a geek than a
53,please quit posting on my talk page you are harrassing me next time i will delete your comments,0.469,0.3456,harrassing quit are next your
54,no it wasn't wtf,0.4282,0.3938,wtf no it wasn't
55,you are with a he's 16,0.4089,0.4162,a he's you are with
56,is gay everyone join world of i need for a guild,0.433,0.3916,gay is everyone world of
57,unblock please i won't make you look a fool i promise i don't break i'm not actually a bad person all i ask is for your my name is chris in which the name christopher means is a person named this is a person can rely on i promise this time i really will edit with good faith,0.4644,0.3582,fool a look you i
58,i dont know what the hell you are talking about,0.4461,0.3812,hell you are the dont
59,honestly you all get your pages to talk about your railroad and your awards but when actually does something real and someone wants to bring attention to that persons accomplishments you nerds attempt to block it this is communist,0.4733,0.3509,all get you your honestly
60,i am and by your angry on my talk page you seem to carry such ugly hatred for me and i can't honestly say i object who am i to tell you how to live your life it just me we couldn't discuss the matter like adults but such is life i will keep you in my thoughts and because you seem to need a friend to be there for you,0.4621,0.3646,angry ugly your i on
61,i can just imagine john response at being by these neo nazi filth,0.4525,0.381,filth nazi neo just i
62,what a load of bollocks so mr is making coi edits how terrible you'll be accusing him of using one of wikipedia's most high traffic pages to spam his own blog next oh wait,0.4429,0.3921,bollocks load of a what
63,nazi germany everyone know that nazi germany was fascist right just that,0.4665,0.3654,nazi nazi fascist germany everyone
64,this ip just so you know this is an ip that among at t customers in houston and possibly elsewhere edits made from this address now are very unlikely to be being made by the same person as edits made last week for instance the person typing this has no idea who kurt shaped box is and thinks it sucks that he got harassed,0.4486,0.386,this just sucks ip so
65,you've just shown up on my you have been a busy little bee you like to believe that you know the truth and think that others do not you are wrong i'll be seeing you again i have nothing but time,0.461,0.373,you've bee a little just
66,yo yo in the house yo yo thats right is in the house i'm come on yo yo yo,0.4195,0.4188,yo yo in the house
67,this barnstar is from the same bigot who created this trash article now rape in pakistan seems like his sister has been with a few lol no wonder hes hell bent on these pov articles,0.4552,0.3829,bigot trash this rape who
68,make fun about f 35,0.4233,0.4173,f 35 fun make about
69,your aggression is unwarranted you desire the world's children to see pornography what i fail to understand your anger at me,0.4782,0.3562,aggression your unwarranted is children
70,video game for pete sake if i see that false video game article one more time i'll throw a cat out of the window whoever you are stop it now it isn't funny or clever you are just making a moron out of yourself and i bet that was the same person who changed the test card date too,0.4521,0.3874,moron a are of sake
71,jack off stop lying to yourself wikipedia has always been and always will be a a war between vandals wikipedians and edit with real wikipedians as if you keep insisting that it is not then i have to sincerely ask you to jack off also dont mess with my talk page i have been put in jail for a i didnt commit and the last thing i want is the record of it hanging around as proof,0.4634,0.3747,off lying jack stop to
72,don't play games you deleted a page that i created by what rule why can you just go around and delete a page that a user did create it is mean to do that you acted in a mean way arrogant,0.4734,0.3644,a don't deleted you play
73,why do you like to girls don’t you know that’s a,0.4489,0.3961,girls don’t a you that’s
74,holland is a much more attractive trade name and the dutch would be wise to stick to it the fact that 3 in the east and the south resent it is just tough shit for them,0.4808,0.3596,shit a holland is more
75,your lies you're lying to and trying to him why you have no proof that jason even posts on wikipedia any more there isn't even an outstanding accusation from someone that they received a message from jason telling them to vote don't bother or anyone else with your nonsense you're making wikipedia a not so fun place,0.4715,0.3727,you're lies lying your to
76,the meat is not prepared at that temperature that's absurd as a the meat spends a few seconds in an that hot but if the meat was left in there long enough to get past about 600 degrees f all the water would and the fat would burn off leaving a of carbon,0.4536,0.3954,meat the off a is
77,is my page so everyone else off,0.4412,0.4094,off is my everyone page
78,this is blatant discrimination and gang behavior,0.4513,0.4004,gang discrimination blatant is this
79,and go ahead and delete my account i can't wait for it i'm sick of having to check every retarded message you people post in my page if it gets deleted it gets permanently blanked,0.4548,0.3966,retarded ahead go and and
80,this will give you communications to the wikipedia servers and will allow the wikipedia servers to determine your real ip address for the purpose of blocking vandals you knew that all along didnt you clown will eat me,0.456,0.3954,this will you give clown
81,obviously you are totally missing the point the purpose of my sentence was not to deliver personal insults to a person of greek nationality rather it was paraphrase of the sentence you are defending in order to show you how it hurts when you insult a person of another nationality i’m going to stop wasting my time discussing with you because you are losing your temper and starting personal attacks on me calling me macedonian that spent 1000 years under greek occupation and still dare to say something in self defense especially i will not discuss your last comments that shows the level of your culture and the ability to reasonably discuss this issue,0.502,0.3399,obviously are you missing totally
82,see your language first a source of hype and you want to turn it into only you are the god of knowledge every one else trying to contribute to this article is a fool suggesting informing on talk page is not the of work but purpose of it moreover i am rather no one will be eager to contribute anything to this article as you are an i am a big fool in front of you,0.4641,0.387,your a a first see
83,stay off my talk page pal,0.4497,0.4032,off stay pal my page
84,are you you keep erasing facts,0.4757,0.3739,erasing you you are keep
85,my dont smell ou,0.4244,0.4298,smell ou dont my
86,penis is there any truth to the legend about his penis being preserved in a i found this article about is,0.4588,0.3956,penis penis is any truth
87,merge with phil dick i agree this should be merged with k dick this information is small enough in nature that it does not warrant its own page also anyone looking up k dick can see this semi interesting information there could be a simple redirect from this page to k dick,0.4453,0.4116,dick dick dick dick small
88,law regarding your change of the word dick on the page this is his term his saying first wikipedia isn't censored second this is a direct quote and very famous line by him don't be a dick,0.4557,0.4017,dick dick your law of
89,sex positive feminism you want a link on to support this here it is you hypocritical loser remember to scroll down and read the whole thing before you vandalize this article again with your ignorance http www reference com browse wiki sex positive feminism,0.4802,0.3736,sex loser hypocritical a you
90,if you read around wikipedia is full of people who are trying to win wikipedia and would rather police things that they feel are ignorant by acting ignorant themselves if you challenge any of these people who want to shut down your contribution they'll go and get a bunch of others to back it no matter how dumb the reasons are these are called or heck you might even get some of those admins who are notorious for abusing their powers in here damn that cold it's the same reasons why steve bio was taken down black music isn't popular with the old school,0.4831,0.3709,you shut a ignorant ignorant
91,you you listen you're just like every other forum mod and admin out there in real life you're probably just some typical anonymous 9 5 and you make up for your lack of authority by becoming a big shot on the internet you leave me condescending messages in which you refer to me as son and accuse my accurate information of being vandalism well just because you have the time and to join pathetic like wiki wrestling project which unfortunately you more privileges than me doesn't make you better you denied me my right to post relevent and pertinent trivia on the page in favor of templates and you are a disgrace to wikipedia and i will be reporting you for your authority and hypocritical ways accusing me of personal insults yet referring to me as,0.4633,0.3953,you're you you you're just
92,it is not false i've showed you every possible source that indicates a new version of is coming on blu ray and you don't believe it you stupid piece of crap well if i have another source that proves it's true i say look here http www com p,0.4723,0.386,stupid crap is of piece
93,instead of who the hell do you think you are try leaving something civil like why do you keep reverting my edits,0.4801,0.3789,hell who of the instead
94,lack of christian values you claim this user is a christian but after noticing your abusive changes often not using you are nothing but a wiki nazi who likes to be abusive to other editors just for his own personnel i wonder if you edit wikipedia in the why do you not get a life,0.4855,0.3755,abusive lack nazi abusive a
95,as you approach a town to attack it first offer its people terms for peace if they accept your terms and open the gates to you then all the people inside will serve you in forced labor but if they refuse to make peace and prepare to fight you must attack the town when the lord your god hands it over to you kill every man in the town but you may keep for yourselves all the women children and other you may enjoy the of your enemies that the lord your god has given you 20 10 14 what kind of of murder rape and slavery answer god i don't recognize your false religion,0.499,0.3593,kill a you attack forced
96,can i at least get back this user opposes terrorism without noting that is albanian one more thing if you continue doing this i will report you to other administrators why don't you remove albanians who write who slaughtered babies in 1998 are on their profile as you have right to respect for example einstein i have right to believe that he's an idiot you can believe about whatever you want but until it's proven you can not delete him from my page if we would do things like that then hundreds of users who respect britney would be banned if admins like it i ask you to return those box without being banned,0.4891,0.3736,idiot babies slaughtered can i
97,i have a terrible habit of not following through w saying i'm out but i just reread his thing where he says if this behavior continues kind of a pussy way to be lazy block me i'm genuinely asking you please plus check out contribs nothing on beat generation totally clueless on this subject this behavior would continue if you didn't bore me so goddamn much peace out,0.4813,0.3873,terrible pussy a goddamn have
98,replies david shut up you totally biased disgrace the the campaign is currently listed in the top 5 results of almost all of the relevant search terms relating to their noble cause the even wikipedia in almost all of them so please shut up david go pleasure yourself or something thanks signed by,0.4817,0.3871,shut up you disgrace biased
99,vandalism keeps harrassing me could you block his sockpuppet,0.4768,0.3943,harrassing vandalism sockpuppet his block
100,f u i wish you would have better things to do those are public pictures used freely and are not copyrighted or something else but you have a job of being the self appointed guardian of wiki i hope you're happy,0.4568,0.4172,f u you i would
101,where do you get off telling others believe whatever they read you need to quit as an admin now,0.4749,0.3978,off get others you telling
102,your harassment ends now,0.4586,0.4165,harassment your ends now
103,number 57 is an absolute disgrace for the amounts of foul and abusive language he has personally attacked me i will tell everyone not to believe in wikipedia purely because of this one being,0.4788,0.3953,disgrace absolute foul abusive the
104,vandalising wikipedia,0.4714,0.404,wikipedia vandalising
105,hey are you still around what's going on with you are you behaving yourself or are you still causing trouble don't worry i haven't forgotten about you later,0.4756,0.4003,what's you are behaving still
106,question if someone was to move this article to italian empire would you use the term vandalism when you were reverting the idiots move,0.4798,0.3962,idiots vandalism the reverting the
