,comment,aggression,attack,attn_words
14,self hating jew i think some of the current text of this article may have been stolen from the copyrighted klan encyclopedia entry for nigger lover have a look why are you helping to promote hate speech on wikipedia,0.2284,0.1755,hating jew self nigger i
15,don´t forget to tell your and too,0.0411,0.0304,and too your to forget
16,look who's talking about unfounded accusations this coming from a guy who tries to re define a group people he knows nothing about with unfounded info wow you americans me all the time,0.0406,0.0232,look unfounded americans tries a
17,last warning to you any more talkback and you will suffer at my,0.2183,0.1815,suffer last will you any
18,constructive feedback for you i find you smart intelligent and but rude destructive and counter productive with very narrow and heavily biased about sources etc who lacks vision and bigger picture,0.0404,0.0254,destructive rude intelligent smart and
19,you display your ignorance the in question was paranoid and he was stupid the classic definitions without a of an accurate description isn't an insult censor why you people feel the need to interfere when you don't understand is beyond me when wrote his stupid paranoid i do not support the of however this was short live that does not make sense that sentence takes away from his great it that he did something wrong or something happened and he did not act it has a negative what is the point of that sentence there should be an entire section devoted to his of paying off the national debt subtle propaganda the does not make sense and should be changed or removed that is paranoid and stupid in fact if you're censoring me surely that garbage should also have been censored on the grounds that it is incoherent or whatever you censors use,0.2545,0.1525,ignorance stupid stupid the your
20,i will vandalize your page,0.225,0.172,vandalize will your i page
21,i see you too have become with but then again my plagiarism software gives some reasonable belief you too are one of his numerous sock puppets as you know all to well the clear of at and an of the last but one journal will confirm that view someone said that the club was the mafia of the at least it raised money for good courses according to the times edition i directed you too research shows that 99 of contributors are men 10 are up as many are social my experience suggests they live in north and are mentally ill they fail to grasp that no one reads the copied out they write 97 of wp is read only by the editor the magazine i edited had readers i was not so f k off and i still have 76 copies of i believe the review copies i received as editor belonged to so i gave them back apologies for spelling i m on a boat and like you the water is with sh t regards to your pretend friend john — preceding unsigned comment added by,0.2394,0.1612,too you have i become
22,read the comment as to why i could not post there it will not allow ip's to comment the filter is and it will not even allow ip's to report it as i spelled that out clearly how the hell did u miss that i also noticed you did nothing to the editor who is making frivolous complaints and not notifying those involved did however attempt to get some help on another editors page and also is attempting to silence other editors to continue the articles again read the contributions and it readily apparent what a waste of my damn time wikipedia is done it has become nothing but a bunch of leftist government assistance types trying to spin the whole project to fit their view with an right wing nut thrown in for some fun for the most conservatives are to busy their a es supporting these left wing nuts and social rejects to give a shit about it at wikipedia,0.2633,0.1449,frivolous the read hell complaints
23,paid o,0.1959,0.1944,paid o
24,im not posting their he never provided proof or anything why not give him hell july 14 2006 utc,0.2092,0.1799,hell im not their he
25,i'm sorry but that's a crap answer first many of the same editors are busy and protecting over there second and most importantly it speaks to core wp policies if are applied differently against one article versus another then why would we blind ourselves to that problem or has wp itself become a political arm and one candidate above another,0.038,0.0187,crap sorry but that's many
26,how was that a personal attack he was being a dick so it was fair cop to call him one,0.2156,0.1716,dick attack a a how
27,keep blocked forever he deserves it don't even make him touch any page that mentions microsoft,0.0379,0.0257,blocked keep deserves forever he
28,i agree that keep faggots was needlessly insulting but it was in the edit summary so reverting the edit doesn't help there i don't know if you can even edit the summaries at all anyway i think vote should be counted so i will put it back one more time and if one of you reverts i'll leave it alone,0.2217,0.1645,faggots insulting was needlessly agree
29,boo to you sir boo to you i have to go monitor the hall now boo to you,0.2035,0.179,you boo to sir have
30,i protest that was outrageous,0.0373,0.0247,outrageous protest i was that
31,three comments in a row get help it's sufficient to quote qualified experts with books from universities stating that you keep on quoting fringe and bullshit said,0.2265,0.1594,bullshit comments row three in
32,2 words learn them shut up dont follow me everywhere,0.2062,0.1748,shut up dont them 2
33,sitush how can anyone assume good faith when you have been writing so much against yadavs on that page it is evident from the discussions how conveniently you have been selecting sources for and then conveniently rejecting the same sources for the you are the only person spamming on that article and vandalizing it yes i will contribute to other articles on wiki too but let me first correct things on yadav as so much wrong has been going on there you got banned and now you have got me banned and you will get anyone banned you differs from your biased stand on yadavs but i am not going to give up i will follow all wp policies and will ensure that i get things corrected on yadav and dont let your and personal views dominate that page peace,0.0366,0.0217,how can anyone sitush good
34,unblock material scientist and so is they are both gay with each other,0.2025,0.1766,gay are both with each
35,thank you sir you just proved your,0.0365,0.0264,proved just sir you you
36,series on 4th july on http www net a few ppl left comments saying that the current series is to end on the 4th of july but i believe that this is complete and utter rubbish has anyone heard anything about this,0.0359,0.0184,rubbish utter and complete has
37,oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi please do not remove me abusing other wikipedians dickhead oi,0.2123,0.1659,dickhead oi dickhead dickhead abusing
38,that really is the final straw and thoroughly dishonest of you to leave the personal attack to which i was responding,0.0358,0.024,dishonest the is final really
39,you deleted the page unlike 99 9 of other musical artists who don't follow the wikipedia guidelines does they have an album that in the united states and the page i created had a citation confirming this quit wasting people's time and only delete pages that don't follow the wikipedia guidelines if a page meets the guidelines but needs work make it better rather than deleting it all together you're a complete waste of a human being,0.2149,0.1626,you deleted the a a
40,u aint got no mix lady so,0.036,0.0289,no got aint mix lady
41,is this bugs person a particularly troll or just ignorant prejudiced and bigoted see above the section about what the e stands for now where he another remark has he been given a block warning the guy should be ignored is there wp,0.2287,0.1526,ignorant troll a this is
42,this man deserves another shot at becoming a federal judge given all his hard work since coming to america those dirty democrats had no right to about john roberts and sam being two more white guys after what they did to this man i remember reading some complaints by those dirty democrats and liberal latino voters about bush failing nominating a hispanic to the supreme court and i thought to myself well what the hell about you the man received a well qualified rating from the american bar association and yet the democrats him they claim he didn't provide enough information about his views but i think what really bothered them was the fact that he is a conservative hispanic this just goes to show you what those dirty democrats really are whenever blacks and hispanics step out of line by,0.233,0.1492,deserves man this shot another
43,if you continue to vandalize my talk page you will be blocked from living on the earth thank you,0.0428,0.0363,you blocked vandalize if to
44,who died and left you queen of page said he likes vandalism on his page and doesn't want it reverted i'm not sure how many different ways saying it will will be required to get it through your thick skull,0.2149,0.1595,who died queen and of
45,must suffer for his actions,0.0347,0.022,suffer must for his actions
46,this is the bs i am talking about you have lied about me and other editors the murray information was to support 200 fewer if you look at talk page you will see i provided him the murray citation via google books so that is false as well and the same for irving you didn't bother to trace his citation to the sources section did you it reveals the figures for production came from notes if you had also bothered to read the next page p i believe irving demonstrates perfectly clearly what felt about production levels this is part of the reason why you were blocked from editing on the battle of britain page and then again for i am not refusing to give anything in fact i can give you the quote for the 77 only i think i'll do it tomorrow night given i am tired and you having wasted most my time today you should have simply asked for it in the like a normal person instead of moving everything around and removing my citations as for the change in romanian to reich yes it is difficult to work out what is referring to it seems this particular mission was a to the oil plants in w germany not command used an attack by the to attack this target in fact no i can't resist two of 27 were sent up after the but could not get past the of and for the day the force lost 44 16 and 77 fighters the lost no and one so there you have it so now i would like you to,0.0344,0.0158,the is bs this about
47,i know that version of ho came out 3 16 90 but the real release date is this one because came out that day now f off and quit undoing me,0.1901,0.1777,off undoing f quit i
48,yeah what a wicked paid,0.2052,0.1635,wicked paid a what yeah
49,3rr violation of howard stern just about to report you to an admin,0.0542,0.0353,violation stern of 3rr just
50,can you please block me from such ignorant human being as those it would be very appreciated wikipedia is home for offence and ignorance i am sad i quite a lot money to help ignorance to continue its existence i thought should have destroyed i was wrong,0.2294,0.1429,ignorant you human block can
51,harassment i'm getting some serious harassment from warriors we should gang up together like those 2 then go page to page applying our version of wouldn't that be fun then tag team revert any opposition then report them to ani then keep on wikipedia to push our own pov,0.053,0.0342,harassment serious harassment some getting
52,24 august 2008 utc you are the troll here are you not be honest 13 33,0.1894,0.1698,troll the are you are
53,is a retard nigger,0.9667,0.9668,retard nigger a is
54,barbaro i left some comments on talk page i think how wikipedia has treated this and the barbaro family was unfair i also noticed that this individual seems to have just tried to edit his name out of those two bogus societies which seems fair to me and wikipedia editors keeps bringing it back it seems like wikipedia's disregard for others is very cruel just my thoughts i also left some comments too on or talk page too excuse me your contribution with adding san was actually not correct i left a comment for you on talk page i think everyone is desperately trying to piece bit in hope that something an article might show up the original version i saw a month ago was just fine and accurate i just had a chance to look at the history of the barbaro family page why was the article listed as the true barbaro family removed that is the one that should be the official barbaro family page it has excellent sources and clearly is structured in a not only a factual way but also a way that the true spirit and soul of the family this that you have replaced it with is why isn't this page flagged under construction you gotta be kidding me if this is the official article that is constructed for the great barbaro family please say it isn't so this has got to be the worst article i have ever seen on wikipedia this thing usually articles this are flagged as stubs asking for people to expand on them i think it is time to admit that you are out of your league clearly the person that constructed the former barbaro family article was an art historian that new this family and proper sources well hyper yahoo com is in on the hoax this hyper guy is in on it with two they planned to damage the barbaro family page all long first they started bogus societies which they knew would lead to the family page being destroyed they planned it well used the same company computer which would discredit the input and this hyper guy stayed out from editing so he would seem clean but how come the conversation on the secret society talk page is only between and hyper even his tag looks suspicious hyper watch this guy very closely i think the barbaro family needs an i'm sorry because i noticed that whenever it seems like the barbaro page was going to be restored than all of a sudden hyper jumped in with hoax hoax very and well hyper i see what is going on how can anyone discredit all of the evidence that was given in the family i get you hyper you were the straight man and played the opposite role but you are both as guilty without any doubt this guy just comes across an ebay purchase out of the blue from ebay back records yeah right ok hyper excuse me the tie is with the of as said in the proper source listed previously your bogus of history will not be and you will be reported to wikipedia,0.0325,0.0154,unfair some cruel i left
55,your talking about my bias why dont you take your jewish pro israeli anti palestinians bias elsewhere before finger pointing your a jew like most of the here obviously there going to say that thus you are bias in your opinion and please dont deny it why dont you look at it from the palestinians pov all jews would believe it is just like some jews believe there not doing anything wrong by building illegal settlement why isnt there a section on that its been in the news alot and israel have been condemned for not stopping it why dont you talk about that your a zionist jew and a mind the personal attacks because you were the one that started it with your response i think there should also be a section on israeli propaganda on net by israelis which by most likely hood would be funded by there and corrupt leaders in fact there should be a section of that also countless allegations against the heads of states not a mention im glad im not in a country like israel which mass punishment and claims to be democratic under a false why was by the in italy corruption he fed deep with in the israeli admin be ashamed write about that anna,0.2336,0.1366,your talking about jewish bias
56,agreed he can go to hell i will keep this up for a few days though because it's hilarious,0.2195,0.1445,hell go to he agreed
57,response to challenge since i am still blocked and cannot post this in response to challenge nor can i vote for the three candidates i do support i will leave this here mitchell please spare us the of i'll quite if you give me a reason no one here thinks you will quite regardless of any reasons given nor would you be expected too you are also fully aware that no one is going to mine through your edits looking for that's just a waste of time and you would likely with they are what i will do is give you a few examples of what i have seen over a very short span of time given a review of any say month long period i think we will find the same result within a few percentage points of the mean you made an obviously bad call about a well respected and long term contributor to this project based on what you term a blp violation you state in your comments that this was supported by other admins when anyone who takes the time to actually go there and read the comments will see that no one supported your decision this caused a moderate admin to leave the project completely only to allow less moderate admins like yourself more room to influence after reviewing the comment made i certainly agree it was a bad comment but it was absolutely not worthy of a block without any sort of warning or talk page message and it was no worse than your of telling all the editors in an rfa they are fucking morons because you were the of the rfa and likely had your feelings hurt an event i note that you were not blocked nor even approached about and as far i can find have never openly apologized for although there may be a comment somewhere i do admit you have a tendency to in your favor such as can be seen in the previous statement when determining that there was support to block when there clearly was nt this can also be seen in reviewing some of the cases on your talk page and talk archives as mentioned above and as noted by several individuals your fucking comment is still too new and does not represent the attitude needed or wanted of a you recently unblocked and revoked his topic ban knowing this user had a long history of personal attacks and trolling regarding gender topics and gamergate within 24 hours that user was again blocked for personal attacks has continued to the pot and make drama and has been drug to at least ani and arbcom within the last week as can be seen on their talk page and the mentioned even based on your comments here you clearly have an attitude of knowing better than everyone else whats good for wikipedia that arrogance is inappropriate of a you give a number of over blocks and claim it as an achievement personally i see this as proof of your tendency to block first and ask questions later there is no way you all those and i can easily see a lot of mistakes and preventing useful edits from being done through bad faith assumptions of guilt similar to those you displayed towards me for criticizing your actions i could keep going but that is enough imo to show a pattern of conduct not appropriate of a,0.0323,0.0175,response challenge blocked to since
58,don't forget that we need to add extra emphasis to how it's all the fault of homosexuals,0.197,0.1604,homosexuals fault don't of all
59,well alison ur name and photo in ur user page sounds and looks like those in and just a investigation well i thought it was who blocked me being a dub also are you a sock puppet or a lying pro,0.1928,0.163,alison ur a a well
60,what the above refers to former do have working links in parliament if you weren't so eager to smash things rather than fix them you would have noticed that and you couldn't even be bothered to let me know there might be a problem i hope our paths never cross again but i suppose i'll have to watch your contributions in future to make sure you aren't deleting everything i do what a waste of time oh yeah i'll assume you were in good faith as if thanks for ruining my formerly good mood as i was enjoying making some useful contributions to wikipedia articles welcome to wikipedia now a with this edit you added a link to the current list for carter problem was it was for david carter not john carter so i removed it i went to replace it with one for john carter but there is none so i couldn't you then added another link but like the first one it too went to the wrong person this time i removed it with the edit summary cannot replace it because carter is no longer an mp you have responded by inserting a brand new link to former i was unaware carter has been added to that list but that is beside the point because i was removing links to current if you intend to edit wikipedia for a while i suggest you don't shout in your edit summaries as you did with former do have working links wikipedians fix links rather than delete them and you address the actual issue and don't jump to conclusions not true the actual issue was that you deleted all the links i added for him that is the the two other links worked fine but you deleted them as well in your hurry to smash everything someone else did in other words you are the one who jumped to conclusions now you're trying to claim you only deleted the one that was a problem even your edit summary is wrong the man's resignation was presented the same day i was adding the links unknown to me so it seems the parliament link was being moved from current to former which caused problems when i clicked on it things happen it only needed to be fixed i would have thought an admin would be capable of that out nor could you figure out how to leave a message on my talk page so i could figure it out you just couldn't wait to smash everything i only came back to the article because i was going through the non cabinet people on the list did you fix that list once you realized this was a former mp no you did not that would have been work requiring thought and effort same as you mis corrected the hat note on the other john carter mp based on your arrogance i thought it likely you were an admin what a surprise i was right and jimbo why the numbers of actual contributors are going straight i have no intention of continuing to contribute to wikipedia because you obviously would prefer to do everything yourself you're not at all welcoming helpful polite assuming good faith or anything else i was led to believe is part of the wikipedia so i leave you to it you didn't even have the grace to apologize for deleting the other links you just tried to blame me in this trail go lecture someone else because i'm out of here and you can be sure i won't be encouraging anyone else to participate in what could have been a good project your attitude is and i'm sure i'm not the first one you've out of here well keep it up and you'll soon have the whole thing to yourself enjoy go to your friends that you got rid of another contributor i'm sure you're very proud of yourself,0.0319,0.0184,what the above weren't smash
61,the tag was about the allegation of and corruption which can clearly be defined as an expression of the personal point of view of the asshole who has written such a sentence every demands a reference,0.2082,0.1498,asshole corruption the the allegation
62,the is pending and it says so in my addition stop being a vandal all you do is the already reputation of wikipedia it is full of like you that believe in the concept of ignoring the facts if you don t like them,0.2107,0.148,the vandal is a t
63,i come to label that the user after to accusing me and put his dirty hands on data of argentina and he did not follow editing this could a wp spa,0.0316,0.0205,come i to accusing label
64,what a hypocrite this is from the main article about was raised a roman catholic although he has had a series of disputes with both the catholic hierarchy and protestant groups like the new tribes mission he has traditionally kept his own faith a private matter but over the course of his presidency has become increasingly open to discussing his religious views stating that both his faith and his interpretation of personal life and ideology have had a profound impact on his left wing and views he often god and asks for prayer in as he did when he asked to pray for health i find it ironic that an atheist such as would ask the people to pray to god for another castro health this just shows what a hypocrite and liar is,0.2107,0.1466,hypocrite what a this is
65,oh such unproven accusations are so uncivil but from a nobody pretending to be a somebody still leaves a nobody enjoy being a zero keyboard hero if my attacks are vicious i'd hate to think what you call them when you use oh wait ah well you know what they say a horse has more brains than the i guess that makes you a genius by donkey standards btw your username is no more anonymous than an ip – it's still just a nickname in a database that your real identity to give you access to an account so go find another to play with that makes sense mister doesn't matter if i'm using an ip or call myself bob the it's still anonymous by the very definition of the word points,0.2193,0.1406,uncivil such brains a vicious
66,you are a cunt hello mr jim my reason for sending this message is that you are a cunt and i wish nothing upon you apart from death that is all x,0.9681,0.9645,cunt a cunt are you
67,hey and you're telling me that without a with welcome or something you animal,0.1869,0.1626,you're and telling hey a
68,for the record the wiki racist has blocked me in defense of his american racist ally i understand the type of racist you are but that's ok because i think it's now to create a new wiki article about the racism in wiki and if any readers come across this sick page and disagrees with the actions of wiki american racists like and against me let me know so you can help contribute to the wiki racism article together we'll fight racism in wiki thanks guys,0.2232,0.1358,racist racist blocked racist for
69,how sad i don't have multiple accounts i only have one i am the victim in this has been harrassing me for 2 years and it continues thank you for allowing her harrassment to go on through you,0.054,0.0319,sad how harrassing don't i
70,this article of angeles is not helping the closed this wikipedia angeles is no good to the children they like to know about angeles but they read all sex this city all you people in this article you killing the of angeles city you give this city a bad image to the world to management pls closed angeles city u are not helping people of angeles u all killing then para sa,0.1961,0.1533,this killing killing sex of
71,let's see some proof or does that go against your fascism,0.2109,0.1422,against fascism let's your go
72,ignorance go ahead dear admins send how many warnings and as you like like i said in talk page see if i care read or response to your warnings or blocks the best way to deal with people like you is by ignoring you good luck,0.2175,0.1378,ignorance ahead go admins dear
73,throwing down if you knew much about you'd know one thing for sure attend a and you can meet and beat us at will i'm in and attend several midwest if you want to stop behind a keyboard yourself you can show up to one i've dealt with a lot of tough talking who claimed military service see my article summary for details so pardon me if i'm not immediately by your half threat,0.0303,0.0179,down throwing if you much
74,nothing but paranoia on your part doesn't from the fact you the 2 articles,0.0301,0.0198,nothing paranoia but on your
75,make that four fifth is this is,0.0301,0.0253,make this fifth four is
76,sexist jokes are not appropriate this joke was sexist and not terribly funny you've been warned before about being civil and constructive in your comments at the reference desk that post was an ugly and ill judged step backwards if i see anything like it from you again i will block you i don't actually believe is female because women don't act like that sorry if the joke was too subtle for you ← '''' →,0.2158,0.1359,sexist are jokes sexist you've
77,i'll repeat to hypocritical what censored from his page stop spamming on my talk page why do you keep harrassing on the astrology articles when you admit you have not studied astrology if you haven't studied brain surgery do you believe your opinions are relevant on a brain surgery article,0.2254,0.1291,hypocritical i'll harrassing what repeat
78,something anonymous editing has given rise to vandalism pass to all vandalism is good vandalism does not come from a sheer desire to cause harm vandals do their thing all over wiki 24 7 from frustration and hatred because incompetent editors who have no skills no degrees no expertise usually no names have done multiple reverts and edits of the work of others vandalism is a good and natural response to no as in get a life who do edits 10 000 edits a year and who have actual watch lists of 1 300 or more and are proud of it these jerks deserve have their own pages vandalized over and over as long as they are in effect vandalizing the pages of others in the name of being a cop vandals keep no life editors admins bureaucrats and honest or at least busy reverting the reverts they get on their own pages vandalism is good it helps drive these into the ground with the culture of wikipedia is very very sick and vandals are needed to the support your local vandal vandal god,0.0589,0.0308,incompetent something vandalism all vandalism
79,lol let's pretend you never attacked me for being too knowledgeable shall we was repeatedly violating wp by demanding unnecessary citations so i reverted his edits because the previous version of that sentence was simply wrong plot wise as for alternate accounts – i have no other active accounts at the present moment i will grant you the chance to your attitude towards me review my contribs and ask me in case anything there bothers you have i blatantly violated a rule have i vandalized an article have i a work in progress by making points such as who are you to come to my article and start reverting editors who in your opinion from the its overall value instead of working towards say improving the article i await your civil reply,0.0294,0.0141,attacked never you pretend blatantly
80,have a message re your last change go all,0.1815,0.1587,a last have all go
81,you're wrong you're wrong you're wrong why am i not impressed by your first until 3 weeks ago i had never heard the term meat puppet perhaps you're trying to make the term mean exactly what you want it to mean no more and no less of alice in i suppose i will have to find the definition of that term but i view it as a problem when self selected biased individuals even if there is no actual involved seem to coordinate their postings dodo ran away that's a fact he didn't address my actual criticisms of his actions he simply threw a few templates as if that was the end of the argument but those templates were not merely mis applied they also did not address the entire subjects of the dispute dodo couldn't be bothered to address them and for a at least for him reason if dodo had to actually discuss his misconduct and debate the not merely of the original post but also his own then dodo would be so busy he couldn't continue his by of peoples' articles dodo was unwilling to explain why he deleted all of my edits repeatedly he was unwilling to explain why he didn't wait for consensus etc and it is a fact that addressed at least misconduct even if they also objected to something i did too why should that be there's an reason i think the kind of people who did post self selected of course one would expect may very well have felt they were defending of their i repeat my point that if i had time and access to reversion deletion statistics it would probably be obvious that those persons who felt the need to speak up generally engaged in a pattern of activity similar to that of dodo revert revert revert and not to bother with any we don't need no consensus such persons would be of pattern of action and similarly of someday being hit with similar criticism am i wrong i invite somebody else to study their statistics and explain why there's no there,0.1929,0.1474,you're you're wrong wrong wrong
